year,title,genre,gross
1986,Top Gun,"Action, Drama, Romance",179.8
1986,Crocodile Dundee,"Adventure, Comedy",174.64
1986,Platoon,"Drama, War",138.53
1986,The Karate Kid Part II,"Action, Family, Romance",115.1
1986,Star Trek IV: The Voyage Home,"Adventure, Comedy, Sci-Fi",109.71
1986,Back to School,"Comedy, Romance, Sport",91.26
1986,Aliens,"Action, Adventure, Sci-Fi",85.16
1986,The Golden Child,"Action, Adventure, Comedy",79.82
1986,Ruthless People,"Comedy, Crime",71.62
1986,Ferris Bueller's Day Off,Comedy,70.14
1986,Down and Out in Beverly Hills,Comedy,62.13
1986,The Color of Money,"Drama, Sport",52.29
1986,Stand by Me,"Adventure, Drama",52.29
1986,Legal Eagles,"Comedy, Crime, Romance",49.85
1986,Cobra,"Action, Crime, Thriller",49.04
1986,An American Tail,"Animation, Adventure, Comedy",47.48
1986,Police Academy 3: Back in Training,Comedy,43.58
1986,Heartbreak Ridge,"Action, Comedy, Drama",42.72
1986,Peggy Sue Got Married,"Comedy, Drama, Fantasy",41.38
1986,Poltergeist II: The Other Side,Horror,41
1986,Short Circuit,"Comedy, Family, Sci-Fi",40.7
1986,Pretty in Pink,"Comedy, Drama, Romance",40.47
1986,The Fly,"Drama, Horror, Sci-Fi",40.46
1986,Hannah and Her Sisters,"Comedy, Drama",40.08
1986,Â¡Three Amigos!,"Comedy, Western",39.25
1986,Little Shop of Horrors,"Comedy, Family, Musical",38.75
1986,About Last Night...,"Comedy, Drama, Romance",38.7
1986,The Great Mouse Detective,"Animation, Adventure, Family",38.6
1986,Running Scared,"Action, Comedy, Crime",38.5
1986,The Money Pit,Comedy,37.5
1986,Gung Ho,"Comedy, Drama",36.61
1986,Nothing in Common,"Comedy, Drama, Romance",32.32
1986,Children of a Lesser God,"Drama, Romance",31.85
1986,Hoosiers,"Drama, Sport",28.61
1986,Soul Man,"Comedy, Romance",27.82
1986,Wildcats,"Comedy, Sport",26.29
1986,Jumpin' Jack Flash,"Comedy, Romance, Thriller",25.59
1986,Heartburn,"Comedy, Drama",25.31
1986,The Morning After,"Crime, Mystery, Romance",25.15
1986,Iron Eagle,"Action, Thriller, War",24.16
1986,Crimes of the Heart,"Comedy, Drama",22.91
1986,Tough Guys,Comedy,21.46
1986,F/X,"Action, Thriller",20.6
1986,Jason Lives: Friday the 13th Part VI,"Horror, Thriller",19.47
1986,Flight of the Navigator,"Adventure, Family, Sci-Fi",18.56
1986,"Jo Jo Dancer, Your Life Is Calling","Biography, Comedy, Drama",18.03
1986,The Delta Force,"Action, Adventure, Drama",17.77
1986,The Big Easy,"Comedy, Crime, Drama",17.69
1986,The Mission,"Adventure, Drama, History",17.22
1986,Howard the Duck,"Action, Adventure, Comedy",16.3
1987,3 Men and a Baby,"Comedy, Drama, Family",167.78
1987,Fatal Attraction,"Drama, Thriller",156.65
1987,Beverly Hills Cop II,"Action, Comedy, Crime",153.67
1987,"Good Morning, Vietnam","Biography, Comedy, Drama",123.92
1987,Moonstruck,"Comedy, Drama, Romance",80.64
1987,The Untouchables,"Crime, Drama, Thriller",76.27
1987,The Secret of My Succe$s,"Comedy, Romance",67
1987,Stakeout,"Action, Comedy, Crime",65.67
1987,Lethal Weapon,"Action, Crime, Thriller",65.21
1987,Dirty Dancing,"Drama, Music, Romance",63.95
1987,The Witches of Eastwick,"Comedy, Fantasy, Horror",63.77
1987,Predator,"Action, Sci-Fi, Thriller",59.74
1987,Throw Momma from the Train,"Comedy, Crime, Thriller",57.92
1987,Dragnet,"Comedy, Crime",57.39
1987,La Bamba,"Biography, Drama, Music",54.22
1987,RoboCop,"Action, Crime, Sci-Fi",53.42
1987,Outrageous Fortune,Comedy,52.86
1987,Broadcast News,"Comedy, Drama, Romance",51.25
1987,The Living Daylights,"Action, Adventure, Thriller",51.19
1987,"Planes, Trains & Automobiles",Comedy,49.53
1987,Full Metal Jacket,"Drama, War",46.36
